iso_code,continent,location,population,population_density,date,total_cases,new_cases,total_deaths,new_deaths
AFG,Asia,Afghanistan,39835428,54.422,2/24/2020,5,5,,
AFG,Asia,Afghanistan,39835428,54.422,2/25/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,2/26/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,2/27/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,2/28/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,2/29/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/1/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/2/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/3/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/4/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/5/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/6/2020,5,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/7/2020,8,3,,
AFG,Asia,Afghanistan,39835428,54.422,3/8/2020,8,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/9/2020,8,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/10/2020,8,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/11/2020,11,3,,
AFG,Asia,Afghanistan,39835428,54.422,3/12/2020,11,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/13/2020,11,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/14/2020,14,3,,
AFG,Asia,Afghanistan,39835428,54.422,3/15/2020,20,6,,
AFG,Asia,Afghanistan,39835428,54.422,3/16/2020,25,5,,
AFG,Asia,Afghanistan,39835428,54.422,3/17/2020,26,1,,
AFG,Asia,Afghanistan,39835428,54.422,3/18/2020,26,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/19/2020,26,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/20/2020,24,-2,,
AFG,Asia,Afghanistan,39835428,54.422,3/21/2020,24,0,,
AFG,Asia,Afghanistan,39835428,54.422,3/22/2020,34,10,,
AFG,Asia,Afghanistan,39835428,54.422,3/23/2020,40,6,1,1
AFG,Asia,Afghanistan,39835428,54.422,3/24/2020,42,2,1,0
AFG,Asia,Afghanistan,39835428,54.422,3/25/2020,74,32,1,0
AFG,Asia,Afghanistan,39835428,54.422,3/26/2020,80,6,2,1
AFG,Asia,Afghanistan,39835428,54.422,3/27/2020,91,11,2,0
AFG,Asia,Afghanistan,39835428,54.422,3/28/2020,106,15,2,0
AFG,Asia,Afghanistan,39835428,54.422,3/29/2020,114,8,4,2
AFG,Asia,Afghanistan,39835428,54.422,3/30/2020,114,0,4,0
AFG,Asia,Afghanistan,39835428,54.422,3/31/2020,166,52,4,0
AFG,Asia,Afghanistan,39835428,54.422,4/1/2020,192,26,4,0
AFG,Asia,Afghanistan,39835428,54.422,4/2/2020,235,43,4,0
AFG,Asia,Afghanistan,39835428,54.422,4/3/2020,269,34,5,1
AFG,Asia,Afghanistan,39835428,54.422,4/4/2020,270,1,5,0
AFG,Asia,Afghanistan,39835428,54.422,4/5/2020,299,29,7,2
AFG,Asia,Afghanistan,39835428,54.422,4/6/2020,337,38,7,0
AFG,Asia,Afghanistan,39835428,54.422,4/7/2020,367,30,11,4
AFG,Asia,Afghanistan,39835428,54.422,4/8/2020,423,56,14,3
AFG,Asia,Afghanistan,39835428,54.422,4/9/2020,444,21,15,1
AFG,Asia,Afghanistan,39835428,54.422,4/10/2020,521,77,15,0
AFG,Asia,Afghanistan,39835428,54.422,4/11/2020,521,0,15,0
AFG,Asia,Afghanistan,39835428,54.422,4/12/2020,555,34,18,3
AFG,Asia,Afghanistan,39835428,54.422,4/13/2020,607,52,19,1
AFG,Asia,Afghanistan,39835428,54.422,4/14/2020,665,58,22,3
AFG,Asia,Afghanistan,39835428,54.422,4/15/2020,770,105,25,3
AFG,Asia,Afghanistan,39835428,54.422,4/16/2020,794,24,29,4
AFG,Asia,Afghanistan,39835428,54.422,4/17/2020,845,51,30,1
AFG,Asia,Afghanistan,39835428,54.422,4/18/2020,908,63,30,0
AFG,Asia,Afghanistan,39835428,54.422,4/19/2020,933,25,30,0
AFG,Asia,Afghanistan,39835428,54.422,4/20/2020,996,63,33,3
AFG,Asia,Afghanistan,39835428,54.422,4/21/2020,1026,30,36,3
AFG,Asia,Afghanistan,39835428,54.422,4/22/2020,1092,66,36,0
AFG,Asia,Afghanistan,39835428,54.422,4/23/2020,1176,84,40,4
AFG,Asia,Afghanistan,39835428,54.422,4/24/2020,1226,50,40,0
AFG,Asia,Afghanistan,39835428,54.422,4/25/2020,1330,104,43,3
AFG,Asia,Afghanistan,39835428,54.422,4/26/2020,1463,133,49,6
AFG,Asia,Afghanistan,39835428,54.422,4/27/2020,1531,68,50,1
AFG,Asia,Afghanistan,39835428,54.422,4/28/2020,1703,172,60,10
AFG,Asia,Afghanistan,39835428,54.422,4/29/2020,1827,124,60,0
AFG,Asia,Afghanistan,39835428,54.422,4/30/2020,1827,0,60,0
AFG,Asia,Afghanistan,39835428,54.422,5/1/2020,2171,344,64,4
AFG,Asia,Afghanistan,39835428,54.422,5/2/2020,2469,298,72,8
AFG,Asia,Afghanistan,39835428,54.422,5/3/2020,2469,0,72,0
AFG,Asia,Afghanistan,39835428,54.422,5/4/2020,2469,0,72,0
AFG,Asia,Afghanistan,39835428,54.422,5/5/2020,2469,0,72,0
AFG,Asia,Afghanistan,39835428,54.422,5/6/2020,3224,755,95,23
AFG,Asia,Afghanistan,39835428,54.422,5/7/2020,3392,168,104,9
AFG,Asia,Afghanistan,39835428,54.422,5/8/2020,3563,171,105,1
AFG,Asia,Afghanistan,39835428,54.422,5/9/2020,3563,0,105,0
AFG,Asia,Afghanistan,39835428,54.422,5/10/2020,4402,839,119,14
AFG,Asia,Afghanistan,39835428,54.422,5/11/2020,4664,262,120,1
AFG,Asia,Afghanistan,39835428,54.422,5/12/2020,4967,303,127,7
AFG,Asia,Afghanistan,39835428,54.422,5/13/2020,4967,0,127,0
AFG,Asia,Afghanistan,39835428,54.422,5/14/2020,5339,372,136,9
AFG,Asia,Afghanistan,39835428,54.422,5/15/2020,6053,714,153,17
AFG,Asia,Afghanistan,39835428,54.422,5/16/2020,6402,349,168,15
AFG,Asia,Afghanistan,39835428,54.422,5/17/2020,6635,233,169,1
AFG,Asia,Afghanistan,39835428,54.422,5/18/2020,7072,437,173,4
AFG,Asia,Afghanistan,39835428,54.422,5/19/2020,7655,583,177,4
AFG,Asia,Afghanistan,39835428,54.422,5/20/2020,8145,490,187,10
AFG,Asia,Afghanistan,39835428,54.422,5/21/2020,8676,531,193,6
AFG,Asia,Afghanistan,39835428,54.422,5/22/2020,9216,540,205,12
AFG,Asia,Afghanistan,39835428,54.422,5/23/2020,9952,736,215,10
AFG,Asia,Afghanistan,39835428,54.422,5/24/2020,10668,716,222,7
AFG,Asia,Afghanistan,39835428,54.422,5/25/2020,11180,512,223,1
AFG,Asia,Afghanistan,39835428,54.422,5/26/2020,11917,737,224,1
AFG,Asia,Afghanistan,39835428,54.422,5/27/2020,12465,548,230,6
AFG,Asia,Afghanistan,39835428,54.422,5/28/2020,13102,637,239,9
AFG,Asia,Afghanistan,39835428,54.422,5/29/2020,13745,643,250,11
AFG,Asia,Afghanistan,39835428,54.422,5/30/2020,14529,784,252,2
AFG,Asia,Afghanistan,39835428,54.422,5/31/2020,15180,651,254,2
AFG,Asia,Afghanistan,39835428,54.422,6/1/2020,15836,656,269,15
AFG,Asia,Afghanistan,39835428,54.422,6/2/2020,16578,742,274,5
AFG,Asia,Afghanistan,39835428,54.422,6/3/2020,17353,775,298,24
AFG,Asia,Afghanistan,39835428,54.422,6/4/2020,17977,624,303,5
AFG,Asia,Afghanistan,39835428,54.422,6/5/2020,19055,1078,313,10
AFG,Asia,Afghanistan,39835428,54.422,6/6/2020,19637,582,331,18
AFG,Asia,Afghanistan,39835428,54.422,6/7/2020,20428,791,361,30
AFG,Asia,Afghanistan,39835428,54.422,6/8/2020,21003,575,373,12
AFG,Asia,Afghanistan,39835428,54.422,6/9/2020,21308,305,380,7
AFG,Asia,Afghanistan,39835428,54.422,6/10/2020,22228,920,409,29
AFG,Asia,Afghanistan,39835428,54.422,6/11/2020,22976,748,430,21
AFG,Asia,Afghanistan,39835428,54.422,6/12/2020,23632,656,450,20
AFG,Asia,Afghanistan,39835428,54.422,6/13/2020,24188,556,455,5
AFG,Asia,Afghanistan,39835428,54.422,6/14/2020,24852,664,475,20
AFG,Asia,Afghanistan,39835428,54.422,6/15/2020,25613,761,480,5
AFG,Asia,Afghanistan,39835428,54.422,6/16/2020,25719,106,488,8
AFG,Asia,Afghanistan,39835428,54.422,6/17/2020,26960,1241,508,20
AFG,Asia,Afghanistan,39835428,54.422,6/18/2020,27423,463,550,42
AFG,Asia,Afghanistan,39835428,54.422,6/19/2020,27964,541,552,2
AFG,Asia,Afghanistan,39835428,54.422,6/20/2020,28383,419,552,0
AFG,Asia,Afghanistan,39835428,54.422,6/21/2020,28919,536,585,33
AFG,Asia,Afghanistan,39835428,54.422,6/22/2020,29229,310,602,17
AFG,Asia,Afghanistan,39835428,54.422,6/23/2020,29567,338,622,20
AFG,Asia,Afghanistan,39835428,54.422,6/24/2020,29726,159,643,21
AFG,Asia,Afghanistan,39835428,54.422,6/25/2020,30261,535,679,36
AFG,Asia,Afghanistan,39835428,54.422,6/26/2020,30346,85,684,5
AFG,Asia,Afghanistan,39835428,54.422,6/27/2020,30702,356,707,23
AFG,Asia,Afghanistan,39835428,54.422,6/28/2020,31053,351,733,26
AFG,Asia,Afghanistan,39835428,54.422,6/29/2020,31324,271,737,4
AFG,Asia,Afghanistan,39835428,54.422,6/30/2020,31445,121,739,2
AFG,Asia,Afghanistan,39835428,54.422,7/1/2020,31848,403,778,39
AFG,Asia,Afghanistan,39835428,54.422,7/2/2020,32108,260,811,33
AFG,Asia,Afghanistan,39835428,54.422,7/3/2020,32410,302,823,12
AFG,Asia,Afghanistan,39835428,54.422,7/4/2020,32758,348,830,7
AFG,Asia,Afghanistan,39835428,54.422,7/5/2020,33037,279,868,38
AFG,Asia,Afghanistan,39835428,54.422,7/6/2020,33150,113,891,23
AFG,Asia,Afghanistan,39835428,54.422,7/7/2020,33470,320,924,33
AFG,Asia,Afghanistan,39835428,54.422,7/8/2020,33680,210,940,16
AFG,Asia,Afghanistan,39835428,54.422,7/9/2020,33739,59,941,1
AFG,Asia,Afghanistan,39835428,54.422,7/10/2020,34280,541,975,34
AFG,Asia,Afghanistan,39835428,54.422,7/11/2020,34437,157,979,4
AFG,Asia,Afghanistan,39835428,54.422,7/12/2020,34537,100,1014,35
AFG,Asia,Afghanistan,39835428,54.422,7/13/2020,34541,4,1016,2
AFG,Asia,Afghanistan,39835428,54.422,7/14/2020,34826,285,1049,33
AFG,Asia,Afghanistan,39835428,54.422,7/15/2020,35026,200,1098,49
AFG,Asia,Afghanistan,39835428,54.422,7/16/2020,35156,130,1117,19
AFG,Asia,Afghanistan,39835428,54.422,7/17/2020,35315,159,1151,34
AFG,Asia,Afghanistan,39835428,54.422,7/18/2020,35375,60,1151,0
AFG,Asia,Afghanistan,39835428,54.422,7/19/2020,35561,186,1185,34
AFG,Asia,Afghanistan,39835428,54.422,7/20/2020,35595,34,1187,2
AFG,Asia,Afghanistan,39835428,54.422,7/21/2020,35701,106,1188,1
AFG,Asia,Afghanistan,39835428,54.422,7/22/2020,35813,112,1194,6
AFG,Asia,Afghanistan,39835428,54.422,7/23/2020,36001,188,1215,21
AFG,Asia,Afghanistan,39835428,54.422,7/24/2020,36067,66,1229,14
AFG,Asia,Afghanistan,39835428,54.422,7/25/2020,36122,55,1250,21
AFG,Asia,Afghanistan,39835428,54.422,7/26/2020,36243,121,1263,13
AFG,Asia,Afghanistan,39835428,54.422,7/27/2020,36349,106,1273,10
AFG,Asia,Afghanistan,39835428,54.422,7/28/2020,36454,105,1274,1
AFG,Asia,Afghanistan,39835428,54.422,7/29/2020,36557,103,1275,1
AFG,Asia,Afghanistan,39835428,54.422,7/30/2020,36628,71,1275,0
AFG,Asia,Afghanistan,39835428,54.422,7/31/2020,36628,0,1275,0
AFG,Asia,Afghanistan,39835428,54.422,8/1/2020,36796,168,1287,12
AFG,Asia,Afghanistan,39835428,54.422,8/2/2020,36796,0,1287,0
AFG,Asia,Afghanistan,39835428,54.422,8/3/2020,36796,0,1287,0
AFG,Asia,Afghanistan,39835428,54.422,8/4/2020,36833,37,1292,5
AFG,Asia,Afghanistan,39835428,54.422,8/5/2020,36915,82,1298,6
AFG,Asia,Afghanistan,39835428,54.422,8/6/2020,36982,67,1302,4
AFG,Asia,Afghanistan,39835428,54.422,8/7/2020,37023,41,1302,0
AFG,Asia,Afghanistan,39835428,54.422,8/8/2020,37101,78,1311,9
AFG,Asia,Afghanistan,39835428,54.422,8/9/2020,37140,39,1316,5
AFG,Asia,Afghanistan,39835428,54.422,8/10/2020,37140,0,1316,0
AFG,Asia,Afghanistan,39835428,54.422,8/11/2020,37355,215,1348,32
AFG,Asia,Afghanistan,39835428,54.422,8/12/2020,37431,76,1358,10
AFG,Asia,Afghanistan,39835428,54.422,8/13/2020,37510,79,1367,9
AFG,Asia,Afghanistan,39835428,54.422,8/14/2020,37517,7,1367,0
AFG,Asia,Afghanistan,39835428,54.422,8/15/2020,37637,120,1374,7
AFG,Asia,Afghanistan,39835428,54.422,8/16/2020,37682,45,1379,5
AFG,Asia,Afghanistan,39835428,54.422,8/17/2020,37682,0,1379,0
AFG,Asia,Afghanistan,39835428,54.422,8/18/2020,37685,3,1379,0
AFG,Asia,Afghanistan,39835428,54.422,8/19/2020,37685,0,1379,0
AFG,Asia,Afghanistan,39835428,54.422,8/20/2020,37845,160,1387,8
AFG,Asia,Afghanistan,39835428,54.422,8/21/2020,37942,97,1389,2
AFG,Asia,Afghanistan,39835428,54.422,8/22/2020,37980,38,1389,0
AFG,Asia,Afghanistan,39835428,54.422,8/23/2020,38039,59,1389,0
AFG,Asia,Afghanistan,39835428,54.422,8/24/2020,38085,46,1391,2
AFG,Asia,Afghanistan,39835428,54.422,8/25/2020,38156,71,1401,10
AFG,Asia,Afghanistan,39835428,54.422,8/26/2020,38199,43,1405,4
AFG,Asia,Afghanistan,39835428,54.422,8/27/2020,38215,16,1405,0
AFG,Asia,Afghanistan,39835428,54.422,8/28/2020,38226,11,1406,1
AFG,Asia,Afghanistan,39835428,54.422,8/29/2020,38229,3,1406,0
AFG,Asia,Afghanistan,39835428,54.422,8/30/2020,38229,0,1406,0
AFG,Asia,Afghanistan,39835428,54.422,8/31/2020,38248,19,1406,0
AFG,Asia,Afghanistan,39835428,54.422,9/1/2020,38282,34,1410,4
AFG,Asia,Afghanistan,39835428,54.422,9/2/2020,38329,47,1413,3
AFG,Asia,Afghanistan,39835428,54.422,9/3/2020,38374,45,1413,0
AFG,Asia,Afghanistan,39835428,54.422,9/4/2020,38374,0,1413,0
AFG,Asia,Afghanistan,39835428,54.422,9/5/2020,38390,16,1413,0
AFG,Asia,Afghanistan,39835428,54.422,9/6/2020,38484,94,1416,3
AFG,Asia,Afghanistan,39835428,54.422,9/7/2020,38580,96,1419,3
AFG,Asia,Afghanistan,39835428,54.422,9/8/2020,38606,26,1422,3
AFG,Asia,Afghanistan,39835428,54.422,9/9/2020,38630,24,1424,2
AFG,Asia,Afghanistan,39835428,54.422,9/10/2020,38658,28,1424,0
AFG,Asia,Afghanistan,39835428,54.422,9/11/2020,38692,34,1424,0
AFG,Asia,Afghanistan,39835428,54.422,9/12/2020,38727,35,1424,0
AFG,Asia,Afghanistan,39835428,54.422,9/13/2020,38802,75,1424,0
AFG,Asia,Afghanistan,39835428,54.422,9/14/2020,38858,56,1429,5
AFG,Asia,Afghanistan,39835428,54.422,9/15/2020,38901,43,1430,1
AFG,Asia,Afghanistan,39835428,54.422,9/16/2020,38941,40,1440,10
AFG,Asia,Afghanistan,39835428,54.422,9/17/2020,38958,17,1440,0
AFG,Asia,Afghanistan,39835428,54.422,9/18/2020,38969,11,1441,1
AFG,Asia,Afghanistan,39835428,54.422,9/19/2020,39005,36,1441,0
AFG,Asia,Afghanistan,39835428,54.422,9/20/2020,39130,125,1445,4
AFG,Asia,Afghanistan,39835428,54.422,9/21/2020,39160,30,1448,3
AFG,Asia,Afghanistan,39835428,54.422,9/22/2020,39182,22,1449,1
AFG,Asia,Afghanistan,39835428,54.422,9/23/2020,39231,49,1450,1
AFG,Asia,Afghanistan,39835428,54.422,9/24/2020,39256,25,1455,5
AFG,Asia,Afghanistan,39835428,54.422,9/25/2020,39272,16,1455,0
AFG,Asia,Afghanistan,39835428,54.422,9/26/2020,39278,6,1457,2
AFG,Asia,Afghanistan,39835428,54.422,9/27/2020,39313,35,1457,0
AFG,Asia,Afghanistan,39835428,54.422,9/28/2020,39325,12,1460,3
AFG,Asia,Afghanistan,39835428,54.422,9/29/2020,39340,15,1462,2
AFG,Asia,Afghanistan,39835428,54.422,9/30/2020,39354,14,1462,0
AFG,Asia,Afghanistan,39835428,54.422,10/1/2020,39371,17,1462,0
AFG,Asia,Afghanistan,39835428,54.422,10/2/2020,39376,5,1462,0
AFG,Asia,Afghanistan,39835428,54.422,10/3/2020,39383,7,1466,4
AFG,Asia,Afghanistan,39835428,54.422,10/4/2020,39427,44,1466,0
AFG,Asia,Afghanistan,39835428,54.422,10/5/2020,39508,81,1470,4
AFG,Asia,Afghanistan,39835428,54.422,10/6/2020,39572,64,1471,1
AFG,Asia,Afghanistan,39835428,54.422,10/7/2020,39634,62,1473,2
AFG,Asia,Afghanistan,39835428,54.422,10/8/2020,39702,68,1474,1
AFG,Asia,Afghanistan,39835428,54.422,10/9/2020,39779,77,1476,2
AFG,Asia,Afghanistan,39835428,54.422,10/10/2020,39789,10,1477,1
AFG,Asia,Afghanistan,39835428,54.422,10/11/2020,39885,96,1481,4
AFG,Asia,Afghanistan,39835428,54.422,10/12/2020,39956,71,1483,2
AFG,Asia,Afghanistan,39835428,54.422,10/13/2020,40014,58,1484,1
AFG,Asia,Afghanistan,39835428,54.422,10/14/2020,40080,66,1485,1
AFG,Asia,Afghanistan,39835428,54.422,10/15/2020,40112,32,1485,0
AFG,Asia,Afghanistan,39835428,54.422,10/16/2020,40159,47,1489,4
AFG,Asia,Afghanistan,39835428,54.422,10/17/2020,40227,68,1492,3
AFG,Asia,Afghanistan,39835428,54.422,10/18/2020,40286,59,1496,4
AFG,Asia,Afghanistan,39835428,54.422,10/19/2020,40373,87,1501,5
AFG,Asia,Afghanistan,39835428,54.422,10/20/2020,40461,88,1503,2
AFG,Asia,Afghanistan,39835428,54.422,10/21/2020,40461,0,1503,0
AFG,Asia,Afghanistan,39835428,54.422,10/22/2020,40510,49,1503,0
AFG,Asia,Afghanistan,39835428,54.422,10/23/2020,40626,116,1505,2
AFG,Asia,Afghanistan,39835428,54.422,10/24/2020,40687,61,1507,2
AFG,Asia,Afghanistan,39835428,54.422,10/25/2020,40768,81,1511,4
AFG,Asia,Afghanistan,39835428,54.422,10/26/2020,40833,65,1514,3
AFG,Asia,Afghanistan,39835428,54.422,10/27/2020,40937,104,1518,4
AFG,Asia,Afghanistan,39835428,54.422,10/28/2020,41032,95,1523,5
AFG,Asia,Afghanistan,39835428,54.422,10/29/2020,41145,113,1529,6
AFG,Asia,Afghanistan,39835428,54.422,10/30/2020,41268,123,1532,3
AFG,Asia,Afghanistan,39835428,54.422,10/31/2020,41334,66,1533,1
AFG,Asia,Afghanistan,39835428,54.422,11/1/2020,41425,91,1536,3
AFG,Asia,Afghanistan,39835428,54.422,11/2/2020,41501,76,1536,0
AFG,Asia,Afghanistan,39835428,54.422,11/3/2020,41633,132,1541,5
AFG,Asia,Afghanistan,39835428,54.422,11/4/2020,41728,95,1544,3
AFG,Asia,Afghanistan,39835428,54.422,11/5/2020,41814,86,1548,4
AFG,Asia,Afghanistan,39835428,54.422,11/6/2020,41935,121,1554,6
AFG,Asia,Afghanistan,39835428,54.422,11/7/2020,41975,40,1554,0
AFG,Asia,Afghanistan,39835428,54.422,11/8/2020,42033,58,1556,2
AFG,Asia,Afghanistan,39835428,54.422,11/9/2020,42159,126,1562,6
AFG,Asia,Afghanistan,39835428,54.422,11/10/2020,42297,138,1574,12
AFG,Asia,Afghanistan,39835428,54.422,11/11/2020,42463,166,1577,3
AFG,Asia,Afghanistan,39835428,54.422,11/12/2020,42609,146,1581,4
AFG,Asia,Afghanistan,39835428,54.422,11/13/2020,42795,186,1591,10
AFG,Asia,Afghanistan,39835428,54.422,11/14/2020,42969,174,1595,4
AFG,Asia,Afghanistan,39835428,54.422,11/15/2020,43035,66,1605,10
AFG,Asia,Afghanistan,39835428,54.422,11/16/2020,43240,205,1617,12
AFG,Asia,Afghanistan,39835428,54.422,11/17/2020,43403,163,1626,9
AFG,Asia,Afghanistan,39835428,54.422,11/18/2020,43628,225,1638,12
AFG,Asia,Afghanistan,39835428,54.422,11/19/2020,43851,223,1645,7
AFG,Asia,Afghanistan,39835428,54.422,11/20/2020,44228,377,1650,5
AFG,Asia,Afghanistan,39835428,54.422,11/21/2020,44443,215,1661,11
AFG,Asia,Afghanistan,39835428,54.422,11/22/2020,44503,60,1675,14
AFG,Asia,Afghanistan,39835428,54.422,11/23/2020,44706,203,1687,12
AFG,Asia,Afghanistan,39835428,54.422,11/24/2020,44988,282,1695,8
AFG,Asia,Afghanistan,39835428,54.422,11/25/2020,45278,290,1712,17
AFG,Asia,Afghanistan,39835428,54.422,11/26/2020,45490,212,1725,13
AFG,Asia,Afghanistan,39835428,54.422,11/27/2020,45716,226,1737,12
AFG,Asia,Afghanistan,39835428,54.422,11/28/2020,45839,123,1740,3
AFG,Asia,Afghanistan,39835428,54.422,11/29/2020,45966,127,1752,12
AFG,Asia,Afghanistan,39835428,54.422,11/30/2020,46215,249,1763,11
AFG,Asia,Afghanistan,39835428,54.422,12/1/2020,46498,283,1774,11
AFG,Asia,Afghanistan,39835428,54.422,12/2/2020,46717,219,1795,21
AFG,Asia,Afghanistan,39835428,54.422,12/3/2020,46980,263,1822,27
AFG,Asia,Afghanistan,39835428,54.422,12/4/2020,47258,278,1841,19
AFG,Asia,Afghanistan,39835428,54.422,12/5/2020,47388,130,1847,6
AFG,Asia,Afghanistan,39835428,54.422,12/6/2020,47641,253,1865,18
AFG,Asia,Afghanistan,39835428,54.422,12/7/2020,47901,260,1875,10
AFG,Asia,Afghanistan,39835428,54.422,12/8/2020,48136,235,1902,27
AFG,Asia,Afghanistan,39835428,54.422,12/9/2020,48366,230,1908,6
AFG,Asia,Afghanistan,39835428,54.422,12/10/2020,48540,174,1921,13
AFG,Asia,Afghanistan,39835428,54.422,12/11/2020,48753,213,1939,18
AFG,Asia,Afghanistan,39835428,54.422,12/12/2020,48826,73,1949,10
AFG,Asia,Afghanistan,39835428,54.422,12/13/2020,48952,126,1960,11
AFG,Asia,Afghanistan,39835428,54.422,12/14/2020,49273,321,1971,11
AFG,Asia,Afghanistan,39835428,54.422,12/15/2020,49484,211,1975,4
AFG,Asia,Afghanistan,39835428,54.422,12/16/2020,49703,219,2001,26
AFG,Asia,Afghanistan,39835428,54.422,12/17/2020,49927,224,2017,16
AFG,Asia,Afghanistan,39835428,54.422,12/18/2020,50202,275,2032,15
AFG,Asia,Afghanistan,39835428,54.422,12/19/2020,50456,254,2037,5
AFG,Asia,Afghanistan,39835428,54.422,12/20/2020,50536,80,2054,17
AFG,Asia,Afghanistan,39835428,54.422,12/21/2020,50678,142,2074,20
AFG,Asia,Afghanistan,39835428,54.422,12/22/2020,50888,210,2089,15
AFG,Asia,Afghanistan,39835428,54.422,12/23/2020,51070,182,2105,16
AFG,Asia,Afghanistan,39835428,54.422,12/24/2020,51357,287,2126,21
AFG,Asia,Afghanistan,39835428,54.422,12/25/2020,51595,238,2135,9
AFG,Asia,Afghanistan,39835428,54.422,12/26/2020,51764,169,2148,13
AFG,Asia,Afghanistan,39835428,54.422,12/27/2020,51848,84,2158,10
AFG,Asia,Afghanistan,39835428,54.422,12/28/2020,52007,159,2170,12
AFG,Asia,Afghanistan,39835428,54.422,12/29/2020,52147,140,2182,12
AFG,Asia,Afghanistan,39835428,54.422,12/30/2020,52330,183,2189,7
AFG,Asia,Afghanistan,39835428,54.422,12/31/2020,52330,0,2189,0
AFG,Asia,Afghanistan,39835428,54.422,1/1/2021,52513,183,2201,12
AFG,Asia,Afghanistan,39835428,54.422,1/2/2021,52586,73,2211,10
AFG,Asia,Afghanistan,39835428,54.422,1/3/2021,52709,123,2221,10
AFG,Asia,Afghanistan,39835428,54.422,1/4/2021,52909,200,2230,9
AFG,Asia,Afghanistan,39835428,54.422,1/5/2021,53011,102,2237,7
AFG,Asia,Afghanistan,39835428,54.422,1/6/2021,53105,94,2244,7
AFG,Asia,Afghanistan,39835428,54.422,1/7/2021,53207,102,2253,9
AFG,Asia,Afghanistan,39835428,54.422,1/8/2021,53332,125,2257,4
AFG,Asia,Afghanistan,39835428,54.422,1/9/2021,53400,68,2264,7
AFG,Asia,Afghanistan,39835428,54.422,1/10/2021,53489,89,2277,13
AFG,Asia,Afghanistan,39835428,54.422,1/11/2021,53538,49,2288,11
AFG,Asia,Afghanistan,39835428,54.422,1/12/2021,53584,46,2301,13
AFG,Asia,Afghanistan,39835428,54.422,1/13/2021,53690,106,2308,7
AFG,Asia,Afghanistan,39835428,54.422,1/14/2021,53775,85,2314,6
AFG,Asia,Afghanistan,39835428,54.422,1/15/2021,53831,56,2324,10
AFG,Asia,Afghanistan,39835428,54.422,1/16/2021,53938,107,2336,12
AFG,Asia,Afghanistan,39835428,54.422,1/17/2021,53984,46,2339,3
AFG,Asia,Afghanistan,39835428,54.422,1/18/2021,54062,78,2343,4
AFG,Asia,Afghanistan,39835428,54.422,1/19/2021,54141,79,2346,3
AFG,Asia,Afghanistan,39835428,54.422,1/20/2021,54278,137,2354,8
AFG,Asia,Afghanistan,39835428,54.422,1/21/2021,54403,125,2363,9
AFG,Asia,Afghanistan,39835428,54.422,1/22/2021,54483,80,2370,7
AFG,Asia,Afghanistan,39835428,54.422,1/23/2021,54559,76,2373,3
AFG,Asia,Afghanistan,39835428,54.422,1/24/2021,54595,36,2378,5
AFG,Asia,Afghanistan,39835428,54.422,1/25/2021,54672,77,2385,7
AFG,Asia,Afghanistan,39835428,54.422,1/26/2021,54750,78,2389,4
AFG,Asia,Afghanistan,39835428,54.422,1/27/2021,54854,104,2389,0
AFG,Asia,Afghanistan,39835428,54.422,1/28/2021,54891,37,2397,8
AFG,Asia,Afghanistan,39835428,54.422,1/29/2021,54939,48,2399,2
AFG,Asia,Afghanistan,39835428,54.422,1/30/2021,55008,69,2400,1
AFG,Asia,Afghanistan,39835428,54.422,1/31/2021,55023,15,2400,0
AFG,Asia,Afghanistan,39835428,54.422,2/1/2021,55059,36,2404,4
AFG,Asia,Afghanistan,39835428,54.422,2/2/2021,55121,62,2405,1
AFG,Asia,Afghanistan,39835428,54.422,2/3/2021,55174,53,2406,1
AFG,Asia,Afghanistan,39835428,54.422,2/4/2021,55231,57,2407,1
AFG,Asia,Afghanistan,39835428,54.422,2/5/2021,55265,34,2407,0
AFG,Asia,Afghanistan,39835428,54.422,2/6/2021,55330,65,2408,1
AFG,Asia,Afghanistan,39835428,54.422,2/7/2021,55335,5,2410,2
AFG,Asia,Afghanistan,39835428,54.422,2/8/2021,55359,24,2413,3
AFG,Asia,Afghanistan,39835428,54.422,2/9/2021,55384,25,2414,1
AFG,Asia,Afghanistan,39835428,54.422,2/10/2021,55402,18,2418,4
AFG,Asia,Afghanistan,39835428,54.422,2/11/2021,55420,18,2419,1
AFG,Asia,Afghanistan,39835428,54.422,2/12/2021,55445,25,2424,5
